y,x1,x2,x3,x4,x5
1,22.08,11.46,1.585,100,1213
0,22.67,7,0.165,160,1
0,29.58,1.75,1.25,280,1
1,20.17,8.17,1.96,60,159
0,15.83,0.585,1.5,100,1
1,17.42,6.5,0.125,60,101
0,58.67,4.46,3.04,43,561
1,27.83,1,3,176,538
0,55.75,7.08,6.75,100,51
1,33.5,1.75,4.5,253,858
1,41.42,5,5,470,1
1,20.67,1.25,1.375,140,211
1,58.58,2.71,2.415,320,1
1,29.58,4.5,7.5,330,1
0,18.92,9,0.75,88,592
1,20,1.25,0.125,140,5
0,22.42,5.665,2.585,129,3258
0,28.17,0.585,0.04,260,1005
0,19.17,0.585,0.585,160,1
1,41.17,1.335,0.165,168,1
1,41.58,1.75,0.21,160,1
1,19.5,9.585,0.79,80,351
1,22.5,0.125,0.125,200,71
1,33.17,3.04,2.04,180,18028
0,30.67,12,2,220,20
1,23.08,2.5,1.085,60,2185
1,27,0.75,4.25,312,151
1,52.33,1.375,9.46,200,101
1,23.08,11.5,2.125,290,285
1,42.83,1.25,13.875,352,113
1,25,12.5,3,20,1
1,39.58,13.915,8.625,70,1
0,47.42,3,13.875,519,1705
1,22.58,1.5,0.54,120,68
1,63.33,0.54,0.585,180,1
1,23.75,0.415,0.04,128,7
0,20.75,10.25,0.71,49,1
0,24.5,1.75,0.165,132,1
0,29.5,2,2,256,18
1,32.33,3.5,0.5,232,1
1,21.08,4.125,0.04,140,101
1,28.17,0.125,0.085,216,2101
1,19,1.75,2.335,112,7
1,27.58,3.25,5.085,369,2
1,27.83,1.5,2,434,36
0,37.33,2.5,0.21,260,247
1,42.5,4.915,3.165,52,1443
1,56.75,12.25,1.25,200,1
1,43.17,5,2.25,141,1
0,23.75,0.71,0.25,240,5
1,18.5,2,1.5,120,301
0,40.83,3.5,0.5,1160,1
0,24.5,0.5,1.5,280,825
0,19.5,0.165,0.04,380,1
1,21.5,11.5,0.5,100,69
1,27.25,1.585,1.835,583,714
1,29.42,1.25,1.75,200,1
1,28.25,5.04,1.5,144,8
1,36.5,4.25,3.5,454,51
1,25.58,0.335,3.5,340,1
1,29.83,3.5,0.165,216,1
0,32.17,1.46,1.085,120,2080
0,18.58,10,0.415,80,43
1,39.92,5,0.21,550,1
1,23.42,1,0.5,280,1
0,24.75,13.665,1.5,280,2
1,34.17,5.25,0.085,290,7
1,27.75,1.29,0.25,140,1
1,42.75,4.085,0.04,108,101
0,18.17,10,0.165,340,1
1,21.25,1.5,1.5,150,9
0,39.08,4,3,480,1
1,38.67,0.21,0.085,280,1
1,27.67,13.75,5.75,487,501
1,27.75,0.585,0.25,260,501
0,25,0.875,1.04,160,5861
1,27.67,2,1,140,7545
1,32.33,2.5,1.25,280,1
1,38.25,10.125,0.125,160,1
1,27.83,4,5.75,75,1
1,33.58,0.25,4,420,1
1,34.08,0.08,0.04,280,2001
0,20.75,10.335,0.335,80,51
1,33.17,1,0.75,340,4072
1,22.75,11,2.5,100,810
1,48.75,8.5,12.5,181,1656
1,20.67,0.835,2,240,1
0,31.25,3.75,0.625,181,1
1,22,0.79,0.29,420,284
1,28.92,0.375,0.29,220,141
1,21,3,1.085,160,2
0,24.75,12.5,1.5,120,568
0,20.83,0.5,1,260,1
0,26.5,2.71,0.085,80,1
0,38.33,4.415,0.125,160,1
1,39.25,9.5,6.5,240,4608
1,25.75,0.5,1.46,312,1
0,46.08,3,2.375,396,4160
1,19.67,10,0.835,140,1
0,22.25,1.25,3.25,280,1
0,16.5,1.25,0.25,108,99
0,15.92,2.875,0.085,120,1
1,34.83,4,12.5,184,1
0,47.42,8,6.5,375,51101
1,45.17,1.5,2.5,140,1
1,15.17,7,1,600,1
1,18.83,0.415,0.165,200,2
1,18,0.165,0.21,200,41
1,37.5,0.835,0.04,120,6
1,22.67,1.585,3.085,80,1
1,47.83,4.165,0.085,520,1
1,34.08,2.5,1,460,17
1,43.08,0.375,0.375,300,163
1,34.5,4.04,8.5,195,1
1,18.25,0.165,0.25,280,1
1,23.08,2.5,0.085,100,4209
0,22.5,8.46,2.46,164,1
1,17.92,0.205,0.04,280,751
1,18.42,10.415,0.125,120,376
0,27.67,1.5,2,368,1
0,18.92,9.25,1,80,501
1,22.67,0.75,1.585,400,10
1,62.5,12.75,5,112,1
0,23.5,9,8.5,120,1
1,35.25,3.165,3.75,680,1
1,41.17,4.04,7,320,1
1,42.17,5.04,12.75,92,1
0,33.75,0.75,1,212,1
1,25.67,12.5,1.21,140,259
1,24.33,6.625,5.5,100,1
1,23.33,11.625,0.835,160,301
1,30.67,2.5,2.25,340,1
1,37.17,4,5,280,1
1,26.25,1.54,0.125,100,1
0,29.75,0.665,0.25,300,1
1,17.25,3,0.04,160,41
1,29.25,14.79,5.04,168,1
0,28.58,3.54,0.5,171,1
1,23.42,0.585,0.085,180,1
1,25,11.25,2.5,200,1209
0,18.75,7.5,2.71,184,26727
1,17.08,0.25,0.335,160,9
1,32.92,2.5,1.75,720,1
0,20.33,10,1,50,1466
1,33.17,1.04,6.5,164,31286
0,25.33,2.085,2.75,360,2
1,20.75,5.085,0.29,140,185
0,40.33,8.125,0.165,184,19
1,29.42,1.25,0.25,400,109
1,40.92,0.5,0.5,130,1
0,29.5,0.46,0.54,380,501
1,54.42,0.5,3.96,180,315
1,34,5.5,1.5,60,1
1,25,12,2.25,120,6
1,33.67,2.165,1.5,120,1
1,36.17,5.5,5,210,688
1,19.5,0.29,0.29,280,365
1,24.17,0.875,4.625,520,2001
1,25.33,0.58,0.29,96,5125
1,29.58,4.75,2,460,69
1,43.17,2.25,0.75,560,1
1,28.75,1.165,0.5,280,1
1,45,8.5,14,88,2001
0,22.83,2.29,2.29,140,2385
0,20.67,3,0.165,100,7
1,27.83,1.5,2.25,100,4
1,40.92,2.25,10,176,1
0,24.33,2.5,4.5,200,457
1,35.58,0.75,1.5,231,1
1,48.33,12,16,110,1
1,35.17,2.5,4.5,150,1271
1,29.25,13,0.5,228,1
0,16.92,0.5,0.165,240,36
0,16,0.165,1,320,2
1,28,2,4.165,181,1
1,41.5,1.54,3.5,216,1
1,24.5,13.335,0.04,120,476
1,33.67,1.25,1.165,120,1
0,40.83,10,1.75,29,838
1,20.42,1.835,2.25,100,151
1,37.5,1.125,1.5,431,1
1,48.5,4.25,0.125,225,1
1,23,0.75,0.5,320,1
1,16.33,2.75,0.665,80,22
1,22.67,10.5,1.335,100,1
0,21.75,11.75,0.25,180,1
0,25.08,2.54,0.25,370,1
1,36.33,2.125,0.085,50,1188
0,28.58,3.75,0.25,40,155
1,22.17,12.125,3.335,180,174
1,34.17,1.54,1.54,520,50001
1,35,2.5,1,210,1
1,28.58,3.625,0.25,100,1
0,19.17,5.415,0.29,80,485
1,23.25,1,0.835,300,1
1,16.5,0.125,0.165,132,1
0,20.08,0.125,1,240,769
1,22.33,11,2,80,279
1,34,5.085,1.085,480,1
0,57.08,0.335,1,252,2198
1,16.25,0.835,0.085,200,1
1,32.83,2.5,2.75,160,2073
1,48.25,25.085,1.75,120,15
1,34.17,2.75,2.5,232,201
1,44.25,0.5,10.75,400,1
1,38.92,1.75,0.5,300,3
1,31.58,0.75,3.5,320,1
