y,x1,x2,x3,x4,x5,x6,x7
199,125,256,6000,256,16,128,198
253,29,8000,32000,32,8,32,269
253,29,8000,32000,32,8,32,220
253,29,8000,32000,32,8,32,172
132,29,8000,16000,32,8,16,132
290,26,8000,32000,64,8,32,318
381,23,16000,32000,64,16,32,367
381,23,16000,32000,64,16,32,489
749,23,16000,64000,64,16,32,636
1238,23,32000,64000,128,32,64,1144
23,400,1000,3000,0,1,2,38
24,400,512,3500,4,1,6,40
70,60,2000,8000,65,1,8,92
117,50,4000,16000,65,1,8,138
15,350,64,64,0,1,4,10
64,200,512,16000,0,4,32,35
23,167,524,2000,8,4,15,19
29,143,512,5000,0,7,32,28
22,143,1000,2000,0,5,16,31
124,110,5000,5000,142,8,64,120
35,143,1500,6300,0,5,32,30
39,143,3100,6200,0,5,20,33
40,143,2300,6200,0,6,64,61
45,110,3100,6200,0,6,64,76
28,320,128,6000,0,1,12,23
21,320,512,2000,4,1,3,69
28,320,256,6000,0,1,6,33
22,320,256,3000,4,1,3,27
28,320,512,5000,4,1,5,77
27,320,256,5000,4,1,6,27
102,25,1310,2620,131,12,24,274
102,25,1310,2620,131,12,24,368
74,50,2620,10480,30,12,24,32
74,50,2620,10480,30,12,24,63
138,56,5240,20970,30,12,24,106
136,64,5240,20970,30,12,24,208
23,50,500,2000,8,1,4,20
29,50,1000,4000,8,1,5,29
44,50,2000,8000,8,1,5,71
30,50,1000,4000,8,3,5,26
41,50,1000,8000,8,3,5,36
74,50,2000,16000,8,3,5,40
74,50,2000,16000,8,3,6,52
74,50,2000,16000,8,3,6,60
54,133,1000,12000,9,3,12,72
41,133,1000,8000,9,3,12,72
18,810,512,512,8,1,1,18
28,810,1000,5000,0,1,1,20
36,320,512,8000,4,1,5,40
38,200,512,8000,8,1,8,62
34,700,384,8000,0,1,1,24
19,700,256,2000,0,1,1,24
72,140,1000,16000,16,1,3,138
36,200,1000,8000,0,1,2,36
30,110,1000,4000,16,1,2,26
56,110,1000,12000,16,1,2,60
42,220,1000,8000,16,1,2,71
34,800,256,8000,0,1,4,12
34,800,256,8000,0,1,4,14
34,800,256,8000,0,1,4,20
34,800,256,8000,0,1,4,16
34,800,256,8000,0,1,4,22
19,125,512,1000,0,8,20,36
75,75,2000,8000,64,1,38,144
113,75,2000,16000,64,1,38,144
157,75,2000,16000,128,1,38,259
18,90,256,1000,0,3,10,17
