ID,SCORE
xxxxx1045,83
xxxxx1100,87
xxxxx3669,86
xxxxx0081,68
xxxxx0188,48
xxxxx1123,88
xxxxx1387,70
xxxxx1572,79
xxxxx2642,29
xxxxx3801,77
xxxxx3818,68
xxxxx3986,85
xxxxx4032,77
xxxxx0265,75
xxxxx0444,91
xxxxx0937,70
xxxxx1166,81
xxxxx1281,77
xxxxx1352,88
xxxxx1632,82
xxxxx1693,90
xxxxx2111,94
xxxxx2303,78
xxxxx2473,79
xxxxx2475,98
xxxxx2595,80
xxxxx2638,100
xxxxx2698,93
xxxxx2829,100
xxxxx3009,70
xxxxx3121,71
xxxxx3301,85
xxxxx3317,90
xxxxx3344,100
xxxxx3436,88
xxxxx3972,87
xxxxx0146,71
xxxxx0337,89
xxxxx1004,93
xxxxx1206,98
xxxxx1207,62
xxxxx1383,84
xxxxx1902,80
xxxxx1969,84
xxxxx2373,100
xxxxx2377,57
xxxxx2656,65
xxxxx2759,52
xxxxx3437,94
xxxxx3586,83
xxxxx4213,73
xxxxx0314,72
xxxxx0454,84
xxxxx0514,43
xxxxx0539,89
xxxxx0643,82
xxxxx0785,69
xxxxx0805,91
xxxxx0833,51
xxxxx0982,36
xxxxx1326,67
xxxxx1447,86
xxxxx1523,48
xxxxx1740,95
xxxxx2005,61
xxxxx2023,84
xxxxx2107,79
xxxxx2259,47
xxxxx2373,74
xxxxx2762,95
xxxxx2774,78
xxxxx2828,98
xxxxx2910,94
xxxxx3115,60
xxxxx3254,87
xxxxx3386,76
