YEAR,STARTS,RATES
1963,1603.20,5.89
1964,1528.80,5.83
1965,1472.80,5.81
1966,1164.90,6.25
1967,1291.60,6.46
1968,1507.60,6.97
1969,1466.80,7.81
1970,1433.60,8.45
1971,2052.20,7.74
1972,2356.60,7.6
1973,2045.30,7.96
1974,1337.70,8.92
1975,1160.40,9
1976,1537.50,9
1977,1987.10,9.02
1978,2020.30,9.56
1979,1745.10,10.78
1980,1292.20,12.66
1981,1084.20,14.7
1982,1062.20,15.14
1983,1703.00,12.57
1984,1749.50,12.38
1985,1741.80,11.55
1986,1805.40,10.17
1987,1620.50,9.31
1988,1488.10,9.19
1989,1376.10,10.13
1990,1192.70,10.05
1991,1013.90,9.32
1992,1199.70,8.24
1993,1287.60,7.2
1994,1457.00,7.49
1995,1354.10,7.87
1996,1476.80,7.8
1997,1474.00,7.71
1998,1616.90,7.07
1999,1640.90,7.04
2000,1568.70,7.52
2001,1602.70,7
2002,1704.90,6.43
