YEAR,MONTH,UNEMP
1983,1,10.4
1983,2,10.4
1983,3,10.3
1983,4,10.2
1983,5,10.1
1983,6,10.1
1983,7,9.4
1983,8,9.5
1983,9,9.2
1983,10,8.8
1983,11,8.5
1983,12,8.3
1984,1,8
1984,2,7.8
1984,3,7.8
1984,4,7.7
1984,5,7.4
1984,6,7.2
1984,7,7.5
1984,8,7.5
1984,9,7.3
1984,10,7.4
1984,11,7.2
1984,12,7.3
1985,1,7.3
1985,2,7.2
1985,3,7.2
1985,4,7.3
1985,5,7.2
1985,6,7.4
1985,7,7.4
1985,8,7.1
1985,9,7.1
1985,10,7.1
1985,11,7
1985,12,7
1986,1,6.7
1986,2,7.2
1986,3,7.2
1986,4,7.1
1986,5,7.2
1986,6,7.2
1986,7,7
1986,8,6.9
1986,9,7
1986,10,7
1986,11,6.9
1986,12,6.6
1987,1,6.6
1987,2,6.6
1987,3,6.6
1987,4,6.3
1987,5,6.3
1987,6,6.2
1987,7,6.1
1987,8,6
1987,9,5.9
1987,10,6
1987,11,5.8
1987,12,5.7
1988,1,5.7
1988,2,5.7
1988,3,5.7
1988,4,5.4
1988,5,5.6
1988,6,5.4
1988,7,5.4
1988,8,5.6
1988,9,5.4
1988,10,5.4
1988,11,5.3
1988,12,5.3
1989,1,5.4
1989,2,5.2
1989,3,5
1989,4,5.2
1989,5,5.2
1989,6,5.3
1989,7,5.2
1989,8,5.2
1989,9,5.3
1989,10,5.3
1989,11,5.4
1989,12,5.4
1990,1,5.4
1990,2,5.3
1990,3,5.2
1990,4,5.4
1990,5,5.4
1990,6,5.2
1990,7,5.5
1990,8,5.7
1990,9,5.9
1990,10,5.9
1990,11,6.2
1990,12,6.3
1991,1,6.4
1991,2,6.6
1991,3,6.8
1991,4,6.7
1991,5,6.9
1991,6,6.9
1991,7,6.8
1991,8,6.9
1991,9,6.9
1991,10,7
1991,11,7
1991,12,7.3
1992,1,7.3
1992,2,7.4
1992,3,7.4
1992,4,7.4
1992,5,7.6
1992,6,7.8
1992,7,7.7
1992,8,7.6
1992,9,7.6
1992,10,7.3
1992,11,7.4
1992,12,7.4
1993,1,7.3
1993,2,7.1
1993,3,7
1993,4,7.1
1993,5,7.1
1993,6,7
1993,7,6.9
1993,8,6.8
1993,9,6.7
1993,10,6.8
1993,11,6.6
1993,12,6.5
1994,1,6.6
1994,2,6.6
1994,3,6.5
1994,4,6.4
1994,5,6.1
1994,6,6.1
1994,7,6.1
1994,8,6
1994,9,5.9
1994,10,5.8
1994,11,5.6
1994,12,5.5
1995,1,5.6
1995,2,5.4
1995,3,5.4
1995,4,5.8
1995,5,5.6
1995,6,5.6
1995,7,5.7
1995,8,5.7
1995,9,5.6
1995,10,5.5
1995,11,5.6
1995,12,5.6
1996,1,5.6
1996,2,5.5
1996,3,5.5
1996,4,5.6
1996,5,5.6
1996,6,5.3
1996,7,5.5
1996,8,5.1
1996,9,5.2
1996,10,5.2
1996,11,5.4
1996,12,5.4
1997,1,5.3
1997,2,5.2
1997,3,5.2
1997,4,5.1
1997,5,4.9
1997,6,5
1997,7,4.9
1997,8,4.8
1997,9,4.9
1997,10,4.7
1997,11,4.6
1997,12,4.7
1998,1,4.6
1998,2,4.6
1998,3,4.7
1998,4,4.3
1998,5,4.4
1998,6,4.5
1998,7,4.5
1998,8,4.5
1998,9,4.6
1998,10,4.5
1998,11,4.4
1998,12,4.4
1999,1,4.3
1999,2,4.4
1999,3,4.2
1999,4,4.3
1999,5,4.2
1999,6,4.3
1999,7,4.3
1999,8,4.2
1999,9,4.2
1999,10,4.1
1999,11,4.1
1999,12,4
2000,1,4
2000,2,4.1
2000,3,4
2000,4,3.8
2000,5,4.1
2000,6,4
2000,7,4.1
2000,8,4.1
2000,9,4
2000,10,3.9
2000,11,4
2000,12,3.9
2001,1,4.1
2001,2,4.2
2001,3,4.2
2001,4,4.4
2001,5,4.4
2001,6,4.6
2001,7,4.6
2001,8,4.9
2001,9,5
2001,10,5.4
2001,11,5.6
2001,12,5.8
2002,1,5.6
2002,2,5.6
2002,3,5.7
2002,4,5.9
2002,5,5.8
2002,6,5.8
2002,7,5.8
2002,8,5.8
2002,9,5.7
2002,10,5.8
2002,11,5.9
2002,12,6
